id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano,mes,dia,fim_de_semana,estacao,velocidade_estim_kmh
548745,2023-08-23,quarta-feira,11:40:00,MG,116,799.2,ALEM PARAIBA,Ausencia de reacao do condutor,Colisao traseira,Com Vitimas Fatais,Pleno dia,Decrescente,Ceu Claro,Simples,Reta;Em Obras,Nao,3,1,0,0,1,2,0,4,-21.75344009,-42.73239666,SPRF-MG,DEL07-MG,UOP01-DEL07-MG,2023,8,23,False,Inverno,50
519063,2023-04-25,terca-feira,08:00:00,SP,381,90.0,SAO PAULO,Acessar a via sem observar a presenca dos outros veiculos,Colisao transversal,Com Vitimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Sim,3,0,1,1,1,0,2,3,-23.49479479,-46.55959864,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,2023,4,25,False,Outono,40
325258,2020-12-02,quarta-feira,22:25:00,RO,364,359.0,OURO PRETO DO OESTE,Condutor Dormindo,Colisao lateral,Com Vitimas Feridas,Plena Noite,Crescente,Ceu Claro,Simples,Reta,Nao,2,0,1,0,1,0,1,2,-10.78642871,-62.04905684,SPRF-RO,DEL02-RO,UOP01-DEL02-RO,2020,12,2,False,Primavera,30
473641,2022-09-10,sabado,21:50:00,MA,10,310.0,ACAILANDIA,Ingestao de alcool pelo condutor,Colisao frontal,Com Vitimas Feridas,Plena Noite,Crescente,Ceu Claro,Simples,Reta,Sim,5,0,2,1,2,0,3,3,-5.026569,-47.547836,SPRF-MA,DEL04-MA,UOP03-DEL04-MA,2022,9,10,True,Inverno,60
503138,2023-02-04,sabado,19:10:00,RJ,493,106.0,DUQUE DE CAXIAS,Demais falhas mecanicas ou eletricas,Saida de leito carrocavel,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Nao,3,0,2,0,1,0,2,1,-22.672089,-43.285053,SPRF-RJ,DEL03-RJ,UOP01-DEL03-RJ,2023,2,4,True,Verão,30
466241,2022-08-06,sabado,05:05:00,MG,116,556.0,MANHUACU,Transitar na contramao,Colisao frontal,Com Vitimas Fatais,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Nao,49,1,1,0,47,0,1,2,-20.00951495,-42.15178013,SPRF-MG,DEL06-MG,UOP02-DEL06-MG,2022,8,6,True,Inverno,80
290374,2020-06-16,terca-feira,22:20:00,RN,101,129.0,NISIA FLORESTA,Falta de Atencao a Conducao,Saida de leito carrocavel,Com Vitimas Feridas,Plena Noite,Decrescente,Ceu Claro,Dupla,Rotatoria,Nao,2,0,0,1,0,1,1,2,-6.112119,-35.233627,SPRF-RN,DEL01-RN,UOP01-DEL01-RN,2020,6,16,False,Outono,40
323414,2020-11-23,segunda-feira,19:20:00,MG,40,281.0,TRES MARIAS,Restricao de Visibilidade,Queda de ocupante de veiculo,Com Vitimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-18.24214561,-45.2080525,SPRF-MG,DEL14-MG,UOP02-DEL14-MG,2020,11,23,False,Primavera,20
416108,2022-02-20,domingo,18:00:00,SC,101,194.3,BIGUACU,Condutor deixou de manter distancia do veiculo da frente,Colisao traseira,Sem Vitimas,Pleno dia,Crescente,Ceu Claro,Multipla,Reta,Sim,3,0,0,0,3,0,0,2,-27.49815117,-48.65661236,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2022,2,20,True,Verão,30
344605,2021-03-06,sabado,08:25:00,SC,282,137.3,BOM RETIRO,Velocidade Incompativel,Colisao com objeto,Com Vitimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Intersecao de Vias,Nao,1,0,0,1,0,0,1,1,-27.82296579,-49.57039833,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2021,3,6,True,Verão,50
